Mission ID,Mission Date,Year,Theater of Operations,Theater of Operations Full Name,Country,Air Force,Aircraft Series,Takeoff Base,Takeoff Base Formatted,Takeoff Location,Takeoff Country Formatted,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target Country Formatted,Target City,Target Type,Target Industry,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,High Explosives,High Explosives Type,High Explosives Weight (Pounds),Total Weight (Tons)
126965,10/8/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,OFF BECO?,ENEMY SHIPPING,,-9.210307,125.39372,29,,,100 LB GP (GP-M30),2900,1.45
126967,10/8/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,OFF BECO?,ENEMY SHIPPING,,-9.210307,125.39372,26,,,250 LB GP (GP-M57),6500,3.25
127354,16/8/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MAPE,,,-9.155,125.453611,,,9,100 LB GP (GP-M30),900,0.45
127355,16/8/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MAPE,,,-9.155,125.453611,,,3,2000 LB GP (GP-M34/M66),6000,3.075
131108,15/10/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,AILEU,BUILDINGS,,-8.728056,125.566389,,,4,100 LB GP (GP-M30),400,0.2
131109,15/10/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,AILEU,BUILDINGS,,-8.728056,125.566389,0,,2,250 LB GP (GP-M57),500,0.25
131177,21/10/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MOABISSE,VILLAGE,,-8.838056,125.597222,,,6,100 LB GP (GP-M30),600,0.3
131178,21/10/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MOABISSE,VILLAGE,,-8.838056,125.597222,,,6,250 LB GP (GP-M57),1500,1.15
132306,4/11/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MOABISSE,,,-8.838056,125.597222,50,,18,250 LB GP (GP-M57),4500,2.25
132307,4/11/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MOABISSE,,,-8.838056,125.597222,50,,18,100 LB GP (GP-M30),1800,0.9
132730,11/11/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MOABISSE,BUILDINGS,,-8.838056,125.597222,,,12,250 LB GP (GP-M57),3000,1.5
132798,16/11/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MOABISSE,BUILDINGS,,-8.838056,125.597222,80,,12,250 LB GP (GP-M57),3000,1.5
133002,16/11/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MOABISSE,BUILDINGS,,-8.838056,125.597222,80,,6,100 LB GP (GP-M30),600,0.3
133862,28/11/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MOABISSE,BUILDINGS,,-8.838056,125.597222,,,6,250 LB GP (GP-M57),1500,0.75
133865,28/11/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MOABISSE,BUILDINGS,,-8.838056,125.597222,0,,2,100 LB GP (GP-M30),,
133867,28/11/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MOABISSE,BUILDINGS,,-8.838056,125.597222,,,0,250 LB GP (GP-M57),1350,0.675
135371,16/12/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,MOABISSE - TIMOR AREA,TOWN,,-8.838056,125.597222,80,3,12,250 LB GP (GP-M57),3000,1.68
127786,26/8/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,DILI,TOWN,,-8.55,125.66667,20,,,250 LB GP (GP-M57),5000,2.65
129944,24/9/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,DILI,SHIPPING,,-8.55,125.66667,,,5,100 LB GP (GP-M30),500,0.25
129948,25/9/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,DILI,MOTOR PARK,,-8.55,125.66667,,,12,100 LB GP (GP-M30),1200,0.6
129950,25/9/42,1942,PTO,Pacific Theater,AUSTRALIA,RAAF,HUDSON,BATCHELOR FIELD,Batchelor Field,AUSTRALIA,Australia,-13.0535,131.0234,,TIMOR,Timor,DILI,TOWN,,-8.55,125.66667,0,,4,250 LB GP (GP-M57),1000,0.5
